:(Mode)update
:(EngineeringUnit)Unit	DefaultTagRate	IntegralDivisor	
Amp	10000	1
COUNTS	10000	1
BAR	10000	1
C	10000	1
Vdc	10000	1
°C	10000	1
Bar	10000	1
Sm3/h	10000	3600
Kgf/cm2	10000	1
Kg/h	10000	3600
Nm3/h	10000	3600
m3/h	10000	3600
mm	10000	1
kg/cm2	10000	1
%	10000	1
ppmH2O	10000	1
KCal/Nm3	10000	1
MOL%	10000	1
M	10000	1
V	10000	1
Kg/cm2	10000	1
m3/jour	10000	86400
-	10000	1
kVA	10000	1
min	10000	60
Nm3/min	10000	60
H_Min	10000	1
Nm3/j	10000	86400
Nm3	10000	1
:(AnalogTag)TagName	Description	IOServerComputerName	IOServerAppName	TopicName	ItemName	AcquisitionType	StorageType	AcquisitionRate	StorageRate	TimeDeadband	SamplesInAI	AllMode	EngUnits	MinEU	MaxEU	MinRaw	MaxRaw	Scaling	RawType	IntegerSize	Sign	ValueDeadband	InitialValue	CurrentEditor	RateDeadband	InterpolationType	RolloverValue	ServerTimeStamp	DeadbandType	
PA2-E6-HR165	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-E6-HR165	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.050000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-E6-HR165	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-E6-HR165	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-E6-HR165	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-30.000000	70.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-E6-HR165	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB1-E6-HR165	Voltage de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	30.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-E6-HR165	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-E6-HR165	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-W8-HRLC05	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	6.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-W8-HRLC05	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-W8-HRLC05	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-W8-HRLC05	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-W8-HRLC05	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-W8-HRLC05	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	350.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-W8-HRLC05	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-30.000000	70.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-W8-HRLC05	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB1-W8-HRLC05	Voltage de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	30.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-W8-HRLC05	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-W8-HRLC05	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-E6-HRLC08	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	6.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-E6-HRLC08	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-E6-HRLC08	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-E6-HRLC08	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-E6-HRLC08	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-E6-HRLC08	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	350.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-E6-HRLC08	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-30.000000	70.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-E6-HRLC08	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB1-E6-HRLC08	Voltage de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	30.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-E6-HRLC08	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-E6-HRLC08	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-N6-HRLC01	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	6.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-N6-HRLC01	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-N6-HRLC01	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-N6-HRLC01	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-N6-HRLC01	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-N6-HRLC01	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	350.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-N6-HRLC01	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-30.000000	70.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-N6-HRLC01	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-N6-HRLC01	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-N6-HRLC01	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-S3-HRLC02	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-S3-HRLC02	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-S3-HRLC02	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-S3-HRLC02	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-S3-HRLC02	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	350.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-S3-HRLC02	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-30.000000	70.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-S3-HRLC02	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB1-S3-HRLC02	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB2-S3-HRLC02	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-N8-HR173	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	6.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-N8-HR173	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-N8-HR173	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-N8-HR173	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-N8-HR173	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-N8-HR173	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	350.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-N8-HR173	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-30.000000	70.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-N8-HR173	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-N8-HR173	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-N8-HR173	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-E6-HRI33LD2	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	6.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-E6-HRI33LD2	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-E6-HRI33LD2	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-E6-HRI33LD2	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-E6-HRI33LD2	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-E6-HRI33LD2	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	350.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-E6-HRI33LD2	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-30.000000	70.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-E6-HRI33LD2	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB1-E6-HRI33LD2	Voltage de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	30.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-E6-HRI33LD2	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-E6-HRI33LD2	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-E6-HRLC12	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	6.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-E6-HRLC12	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-E6-HRLC12	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-E6-HRLC12	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-E6-HRLC12	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-E6-HRLC12	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	350.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-E6-HRLC12	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-30.000000	70.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-E6-HRLC12	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB1-E6-HRLC12	Voltage de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	30.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-E6-HRLC12	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-E6-HRLC12	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-N2-HRI33	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	6.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-N2-HRI33	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-N2-HRI33	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-N2-HRI33	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-N2-HRI33	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-N2-HRI33	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	350.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-N2-HRI33	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-30.000000	70.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-N2-HRI33	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB1-N2-HRI33	Voltage de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	30.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-N2-HRI33	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-N2-HRI33	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-W2-HRLC03	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	6.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-W2-HRLC03	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-W2-HRLC03	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-W2-HRLC03	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-W2-HRLC03	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-W2-HRLC03	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	350.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-W2-HRLC03	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-30.000000	70.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-W2-HRLC03	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB1-W2-HRLC03	Voltage de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	30.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-W2-HRLC03	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-W2-HRLC03	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-S3-HRLC07	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	6.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-S3-HRLC07	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-S3-HRLC07	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-S3-HRLC07	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-S3-HRLC07	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-S3-HRLC07	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	350.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-S3-HRLC07	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-30.000000	70.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-S3-HRLC07	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB1-S3-HRLC07	Voltage de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	30.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-S3-HRLC07	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-S3-HRLC07	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
DG-W1-HR49	Debit Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Nm3/min	0	10000	0	10000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
DG-N1-HR115	Debit Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Nm3/min	0	10000	0	10000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
DG-W6-HR58	Debit Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Nm3/min	0	10000	0	10000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
DG-HRS1	Debit Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Nm3/min	0	10000	0	10000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
